"","id","font","cond","acc"
"342","5f430c46a5518f171572f8d1","SF","timed",0.916666666666667
"343","5f480fee3ff0462a1e64d4ff","flu","timed",0.166666666666667
"344","5f480fee3ff0462a1e64d4ff","SF","timed",0.25
"345","5f4dfdb3a7461bad5d3dd157","flu","self-paced",0.0833333333333333
"346","5f4dfdb3a7461bad5d3dd157","SF","self-paced",0.166666666666667
"347","5f4fe426bc50f511ff591125","flu","self-paced",0
"348","5f4fe426bc50f511ff591125","SF","self-paced",0
"349","5f5127ced786f21277aa39da","flu","self-paced",0.0833333333333333
"350","5f5127ced786f21277aa39da","SF","self-paced",0.0833333333333333
"351","5f51530ebc50f53857d60824","flu","timed",0.5
"352","5f51530ebc50f53857d60824","SF","timed",0.25
"353","5f60fa0a0543ce036fa68ba0","flu","timed",0.25
"354","5f60fa0a0543ce036fa68ba0","SF","timed",0.166666666666667
"355","5f627a1e4b807f1aa7e35280","flu","timed",0.583333333333333
"356","5f627a1e4b807f1aa7e35280","SF","timed",0.583333333333333
"357","5f6592b0534630116af73d11","flu","timed",0.416666666666667
"358","5f6592b0534630116af73d11","SF","timed",0.25
"359","5f690f742f60ad0e80c1c605","flu","timed",0.583333333333333
"360","5f690f742f60ad0e80c1c605","SF","timed",0.583333333333333
"361","5f6ea1541b1cd73f7201953d","flu","self-paced",0.166666666666667
"362","5f6ea1541b1cd73f7201953d","SF","self-paced",0.333333333333333
"363","5f700e2d56de4b5dd5ccc0c3","flu","timed",0.25
"364","5f700e2d56de4b5dd5ccc0c3","SF","timed",0.0833333333333333
"365","5f7058deeb83ab60bb836eae","flu","timed",0.583333333333333
"366","5f7058deeb83ab60bb836eae","SF","timed",0.833333333333333
"367","5f74d25c5d9287101a1d1752","flu","timed",0.666666666666667
"368","5f74d25c5d9287101a1d1752","SF","timed",0.583333333333333
"369","5f8127fb4dc3ba1e0c1bd84f","flu","timed",0.25
"370","5f8127fb4dc3ba1e0c1bd84f","SF","timed",0.166666666666667
